"player_name","scoring_class","improvement_ratio"
"Toby Bailey","bad","1.2068965"
"Scott Williams","bad","1.195122"
"Harvey Grant","bad","1.1923077"
"Dale Davis","bad","1.1875"
"Antonio Daniels","bad","1.1794871"
"Wang Zhi-zhi","bad","1.1666666"
"Bruno Sundov","bad","1.1538461"
"Dan Langhi","bad","1.1481481"
"Andrew Lang","bad","1.1481481"
"Cal Bowdler","bad","1.1481481"
"Monty Williams","bad","1.1269841"
"Jabari Smith","bad","1.1034483"
"Fred Hoiberg","bad","1.1"
"Danny Ferry","bad","1.0952381"
"Hanno Mottola","bad","1.0909091"
"Jamel Thomas","bad","1.0833333"
"Michael Cage","bad","1.0769231"
"Adrian Griffin","bad","1.0746269"
"Bryon Russell","bad","1.0666667"
"Chris Herren","bad","1.0645162"
"Quincy Lewis","bad","1.0526316"
"Keith Closs","bad","1.05"
"Duane Causwell","bad","1.0416666"
"Tony Smith","bad","1.037037"
"Bill Curley","bad","1.0322582"
"Courtney Alexander","bad","1.031579"
"Slava Medvedenko","bad","1.0217391"
"Eddie Gill","bad","1.0204082"
"Greg Buckner","bad","1.0175439"
"Chris Anstey","bad","1.0169492"
"Erick Strickland","bad","1.0131578"
"Chris Mihm","bad","1.0131578"
"Mark Jackson","bad","1.0120481"
"Darius Miles","bad","1.0106384"
"Michael Bradley","bad","1"
"Kevin Salvadori","bad","1"
"Ed Stokes","bad","1"
"Gerald Brown","bad","1"
"Alton Lister","bad","1"
"Jarron Collins","bad","1"
"Wayne Turner","bad","1"
"Tim Young","bad","1"
"Mike James","bad","1"
"Jeff Grayer","bad","1"
"Bobby Hurley","bad","1"
"Jamison Brewer","bad","1"
"Jamaal Tinsley","bad","1"
"Xavier McDaniel","bad","1"
"Nate McMillan","bad","1"
"Rick Hughes","bad","1"
"Chris Andersen","bad","1"
"Norman Richardson","bad","1"
"Paul McPherson","bad","1"
"Olumide Oyedeji","bad","1"
"Oscar Torres","bad","1"
"Greg Anderson","bad","1"
"Charlie Bell","bad","1"
"Spud Webb","bad","1"
"Donald Royal","bad","1"
"Predrag Drobnjak","bad","1"
"Primoz Brezec","bad","1"
"Brad Lohaus","bad","1"
"Dan McClintock","bad","1"
"Carlos Arroyo","bad","1"
"Ike Fontaine","bad","1"
"Charles Jones","bad","1"
"Dragan Tarlac","bad","1"
"Ratko Varda","bad","1"
"Chris Porter","bad","1"
"Derek Grimm","bad","1"
"David Vanterpool","bad","1"
"Richard Jefferson","bad","1"
"Mike Smith","bad","1"
"Tim Breaux","bad","1"
"Reggie Geary","bad","1"
"Ricky Pierce","bad","1"
"Rodney White","bad","1"
"Horacio Llamas","bad","1"
"Ruben Boumtje-Boumtje","bad","1"
"Dontonio Wingfield","bad","1"
"Brian Scalabrine","bad","1"
"Yinka Dare","bad","1"
"Clifford Rozier","bad","1"
"Charles Shackleford","bad","1"
"Samuel Dalembert","bad","1"
"Lawrence Moten","bad","1"
"Greg Graham","bad","1"
"Lloyd Daniels","bad","1"
"Brian Cardinal","bad","1"
"Brooks Thompson","bad","1"
"Ledell Eackles","bad","1"
"Oliver Miller","bad","1"
"Brendan Haywood","bad","1"
"Brandon Armstrong","bad","1"
"Thomas Hamilton","bad","1"
"Jamal Robinson","bad","1"
"Bobby Simmons","bad","1"
"Speedy Claxton","bad","1"
"Casey Shaw","bad","1"
"Fred Vinson","bad","1"
"Marlon Garnett","bad","1"
"John Salley","bad","1"
"Joe Johnson","bad","1"
"Alvin Sims","bad","1"
"Joe Crispin","bad","1"
"Joseph Forte","bad","1"
"Buck Williams","bad","1"
"Earl Watson","bad","1"
"Jeryl Sasser","bad","1"
"Kedrick Brown","bad","1"
"Stephen Howard","bad","1"
"Priest Lauderdale","bad","1"
"Kenny Satterfield","bad","1"
"Eddie Griffin","bad","1"
"Negele Knight","bad","1"
"Jack Haley","bad","1"
"Dean Oliver","bad","1"
"Kebu Stewart","bad","1"
"Sharone Wright","bad","1"
"Devin Gray","bad","1"
"Kirk Haston","bad","1"
"Jeff Sheppard","bad","1"
"DeSagana Diop","bad","1"
"Kwame Brown","bad","1"
"Jeff Trepagnier","bad","1"
"Jason Sasser","bad","1"
"Mark Price","bad","1"
"Henry James","bad","1"
"James Collins","bad","1"
"John Celestand","bad","1"
"Leon Smith","bad","1"
"Eddy Curry","bad","1"
"Loren Woods","bad","1"
"Ivano Newbill","bad","1"
"Andrew Gaze","bad","1"
"Malik Allen","bad","1"
"Carl Thomas","bad","1"
"Damone Brown","bad","1"
"Martin Muursepp","bad","1"
"Lazaro Borrell","bad","1"
"Jason Collins","bad","1"
"Sean Colson","bad","1"
"Ryan Robertson","bad","1"
"Jason Lawson","bad","1"
"Corie Blount","bad","1"
"Maurice Evans","bad","1"
"Mengke Bateer","bad","1"
"Mark Macon","bad","1"
"Brian Oliver","bad","1"
"Aleksandar Radojevic","bad","1"
"Tyson Wheeler","bad","1"
"Bubba Wells","bad","1"
"Tom Chambers","bad","1"
"Jamie Watson","bad","1"
"Chris King","bad","1"
"Soumaila Samake","bad","1"
"Donald Whiteside","bad","1"
"Vincent Askew","bad","1"
"Antonis Fotsis","bad","1"
"Ruben Garces","bad","1"
"Kelly McCarty","bad","1"
"Chris Robinson","bad","1"
"Tim Kempton","bad","1"
"George Zidek","bad","1"
"Marcus Brown","bad","1"
"Ernest Brown","bad","1"
"Steven Hunter","bad","1"
"Anthony Bowie","bad","1"
"Tang Hamilton","bad","1"
"Terence Morris","bad","1"
"Miles Simon","bad","1"
"Reggie Hanson","bad","1"
"Dwayne Schintzius","bad","1"
"Tierre Brown","bad","1"
"Harold Ellis","bad","1"
"A.J. Bramlett","bad","1"
"Korleone Young","bad","1"
"Gerald Wallace","bad","1"
"Pepe Sanchez","bad","1"
"Mirsad Turkcan","bad","1"
"Khalid El-Amin","bad","1"
"Tony Parker","bad","1"
"Adonis Jordan","bad","1"
"Thurl Bailey","bad","1"
"Tremaine Fowlkes","bad","1"
"Trenton Hassell","bad","1"
"God Shammgod","bad","1"
"Troy Murphy","bad","1"
"Shea Seals","bad","1"
"Gerald Madkins","bad","1"
"Loren Meyer","bad","1"
"Tyson Chandler","bad","1"
"Victor Alexander","bad","1"
"Ansu Sesay","bad","1"
"Pete Myers","bad","1"
"Scott Brooks","bad","1"
"Ruben Wolkowyski","bad","1"
"Amal McCaskill","bad","1"
"Vladimir Radmanovic","bad","1"
"Dontae' Jones","bad","1"
"Cory Carr","bad","1"
"Alvin Jones","bad","1"
"Alton Ford","bad","1"
"Tony Dumas","bad","1"
"Will Solomon","bad","1"
"Zach Randolph","bad","1"
"Zeljko Rebraca","bad","1"
"Etan Thomas","bad","1"
"Garth Joseph","bad","1"
"DeMarco Johnson","bad","1"
"Peter Aluma","bad","1"
"Dominique Wilkins","bad","1"
"J.R. Henderson","bad","1"
"Jeff Nordgaard","bad","1"
"Paul Grant","bad","1"
"Dedric Willoughby","bad","1"
"Damon Jones","bad","0.9807693"
"Greg Minor","bad","0.98"
"Trajan Langdon","bad","0.97959185"
"Chris Morris","bad","0.9767441"
"Bryce Drew","bad","0.9714286"
"William Avery","bad","0.9615385"
"Lorenzo Williams","bad","0.9473684"
"Clar. Weatherspoon","bad","0.94623655"
"Anthony Avent","bad","0.9444445"
"Don Reid","bad","0.94285715"
"Tony Delk","bad","0.940594"
"James Cotton","bad","0.9259259"
"Kevin Edwards","bad","0.92105263"
"Charles R. Jones","bad","0.9189189"
"Robert Horry","bad","0.9189189"
"Walt Williams","bad","0.9126213"
"Eric Murdock","bad","0.90322584"
"A.J. Guyton","bad","0.90000004"
"Mahmoud Abdul-Rauf","bad","0.89041096"
"Sean Rooks","bad","0.8823529"
"Theo Ratliff","bad","0.8787879"
"Tariq Abdul-Wahad","bad","0.875"
"P.J. Brown","bad","0.87499994"
"Daniel Santiago","bad","0.8709678"
"David Vaughn","bad","0.85365856"
"Sean Elliott","bad","0.84946233"
"Tony Massenburg","bad","0.84615386"
"Donny Marshall","bad","0.8333334"
"Tyus Edney","bad","0.8301887"
"Brian Skinner","bad","0.82926834"
"Eric Montross","bad","0.82758623"
"Scott Burrell","bad","0.82692313"
"Stacey Augmon","bad","0.8245614"
"Tony Battie","bad","0.8214286"
"Joe Stephens","bad","0.82051283"
"Antonio Harvey","bad","0.81818175"
"Doug Overton","bad","0.8148148"
"Popeye Jones","bad","0.81395346"
"Ryan Stack","bad","0.8076923"
"Derek Harper","bad","0.80232555"
"Joe Kleine","bad","0.8"
"Tyrone Hill","bad","0.8"
"Carl Herrera","bad","0.7931034"
"Kenny Anderson","bad","0.78688526"
"Vladimir Stepania","bad","0.7818182"
"Matt Maloney","bad","0.7790697"
"Eric Piatkowski","bad","0.7787611"
"Brevin Knight","bad","0.7777778"
"Avery Johnson","bad","0.77450985"
"Brian Grant","bad","0.76859504"
"Chris Mills","bad","0.76288664"
"Elliot Perry","bad","0.75342464"
"Samaki Walker","bad","0.752809"
"John Thomas","bad","0.75"
"Anthony Mason","bad","0.75"
"Toni Kukoc","bad","0.74436086"
"Michael Doleac","bad","0.7419355"
"Jerome Moiso","bad","0.73333335"
"Anthony Peeler","bad","0.73170733"
"Michael Smith","bad","0.7307693"
"Zan Tabak","bad","0.7222222"
"Todd Day","bad","0.7166667"
"Sherman Douglas","bad","0.7125"
"Kevin Johnson","bad","0.70526314"
"Greg Ostertag","bad","0.7021277"
"Eric Washington","bad","0.7012987"
"Todd Fuller","bad","0.7"
"Ron Harper","bad","0.6989247"
"Robert Traylor","bad","0.6981132"
"Keyon Dooling","bad","0.69491524"
"Evan Eschmeyer","bad","0.6896551"
"Dana Barros","bad","0.68367344"
"Anthony Carter","bad","0.6825397"
"Vernon Maxwell","bad","0.6811594"
"Dell Curry","bad","0.6808511"
"Olden Polynice","bad","0.6708861"
"Keith Askins","bad","0.6666666"
"Charlie Ward","bad","0.6666666"
"Mark Strickland","bad","0.6617647"
"Horace Grant","bad","0.661157"
"Rick Fox","bad","0.65833336"
"David Benoit","bad","0.6545454"
"Chris Childs","bad","0.6507936"
"Hubert Davis","bad","0.6486486"
"Vitaly Potapenko","bad","0.6478873"
"Ed Gray","bad","0.6447369"
"Erick Dampier","bad","0.64406776"
"Gary Trent","bad","0.64102566"
"Derrick Dial","bad","0.64"
"Dan Majerle","bad","0.6388889"
"Larry Johnson","bad","0.63870966"
"Jud Buechler","bad","0.6296296"
"Jayson Williams","bad","0.62790704"
"Steve Henson","bad","0.625"
"Tyrone Nesby","bad","0.62376237"
"Willie Burton","bad","0.61904764"
"A.C. Green","bad","0.6164383"
"Eric Riley","bad","0.61111116"
"Michael Curry","bad","0.6060606"
"Shandon Anderson","bad","0.6024096"
"Armen Gilliam","bad","0.59821427"
"Dennis Rodman","bad","0.59574467"
"Pooh Richardson","bad","0.59523815"
"Obinna Ekezie","bad","0.59375"
"Corey Beck","bad","0.59375"
"Jason Caffey","bad","0.5890411"
"Terry Porter","bad","0.57894737"
"Howard Eisley","bad","0.5714286"
"Bill Wennington","bad","0.5714286"
"Calbert Cheaney","bad","0.5703125"
"Cedric Ceballos","bad","0.57017547"
"Johnny Taylor","bad","0.5625"
"Antoine Carr","bad","0.5614035"
"Chris Gatling","bad","0.5565218"
"Bryant Stith","bad","0.55263156"
"Steve Kerr","bad","0.5466667"
"Travis Williams","bad","0.5428571"
"Kiwane Garris","bad","0.5416666"
"Mark Blount","bad","0.5384615"
"Marko Milic","bad","0.53571427"
"Larry Robinson","bad","0.53571427"
"Michael Hawkins","bad","0.53333336"
"Sam Perkins","bad","0.5277778"
"Shawn Respert","bad","0.5254237"
"Mario Elie","bad","0.52380955"
"Jerome Kersey","bad","0.5238095"
"Gary Grant","bad","0.5208333"
"Christian Laettner","bad","0.51449275"
"Chris Mullin","bad","0.5132744"
"Carlos Rogers","bad","0.5094339"
"Bryant Reeves","bad","0.5092025"
"Dennis Scott","bad","0.5090909"
"Tim Hardaway","bad","0.50793654"
"George Lynch","bad","0.50666666"
"Robert Pack","bad","0.5"
"Jim McIlvaine","bad","0.5"
"Michael Ruffin","bad","0.5"
"Andrew DeClercq","bad","0.5"
"Terry Dehere","bad","0.5"
"LaPhonso Ellis","bad","0.49650347"
"Lawrence Funderburke","bad","0.49473682"
"Jaren Jackson","bad","0.48863637"
"Rick Brunson","bad","0.48837206"
"Matt Bullard","bad","0.4857143"
"Chris Carr","bad","0.48484853"
"Lindsey Hunter","bad","0.47933885"
"Lee Mayberry","bad","0.4782609"
"Eddie Johnson","bad","0.4761905"
"Stephen Jackson","bad","0.47560978"
"Bo Outlaw","bad","0.47368422"
"Isaiah Rider","bad","0.4720812"
"Mark West","bad","0.46666667"
"Brian Evans","bad","0.46666664"
"Tim James","bad","0.4642857"
"Doug West","bad","0.46341464"
"Derrick McKey","bad","0.46031746"
"Brian Shaw","bad","0.46031746"
"Mark Bryant","bad","0.45238096"
"Anthony Goldwire","bad","0.4456522"
"Loy Vaught","bad","0.44"
"Michael Stewart","bad","0.43478262"
"Hakeem Olajuwon","bad","0.43292683"
"Terry Mills","bad","0.42857143"
"Pete Chilcutt","bad","0.4285714"
"Kendall Gill","bad","0.42537314"
"Khalid Reeves","bad","0.42528737"
"Reggie Jordan","bad","0.42307696"
"Charles Oakley","bad","0.42222223"
"Billy Owens","bad","0.41904762"
"Chuck Person","bad","0.41791046"
"Rex Chapman","bad","0.41509435"
"Mateen Cleaves","bad","0.4074074"
"Bimbo Coles","bad","0.4"
"Walter McCarty","bad","0.3958333"
"Terry Davis","bad","0.38636363"
"Glen Rice","bad","0.38565025"
"Micheal Williams","bad","0.3846154"
"Alan Henderson","bad","0.3846154"
"Kevin Willis","bad","0.37888196"
"Tracy Murray","bad","0.37748343"
"Steve Goodrich","bad","0.375"
"Felton Spencer","bad","0.37499997"
"Anthony Johnson","bad","0.37333333"
"Kornel David","bad","0.37096775"
"Andrae Patterson","bad","0.36363637"
"William Cunningham","bad","0.36363637"
"Marc Jackson","bad","0.36363637"
"Shawn Bradley","bad","0.35964912"
"John Wallace","bad","0.35714287"
"Dale Ellis","bad","0.35593218"
"Chris Dudley","bad","0.35483873"
"Vonteego Cummings","bad","0.35106385"
"Sam Jacobson","bad","0.35"
"Haywoode Workman","bad","0.3478261"
"J.R. Reid","bad","0.3469388"
"John Starks","bad","0.34108528"
"Mike Penberthy","bad","0.34"
"Shawn Kemp","bad","0.33888888"
"Stojko Vrankovic","bad","0.33333334"
"Hot Rod Williams","bad","0.33333334"
"Rick Mahorn","bad","0.3333333"
"Derek Strong","bad","0.33070865"
"Ervin Johnson","bad","0.325"
"Reggie Slater","bad","0.325"
"Tom Gugliotta","bad","0.3233831"
"Eric Williams","bad","0.32323235"
"Stanley Roberts","bad","0.32258067"
"Adam Keefe","bad","0.3205128"
"Duane Ferrell","bad","0.3157895"
"Travis Knight","bad","0.30769232"
"Sam Mack","bad","0.30555555"
"John Amaechi","bad","0.30476192"
"Antonio Lang","bad","0.3"
"Jimmy Oliver","bad","0.3"
"Cedric Henderson","bad","0.2970297"
"Jerald Honeycutt","bad","0.296875"
"Blue Edwards","bad","0.2962963"
"Danny Manning","bad","0.2962963"
"Hersey Hawkins","bad","0.29523808"
"Patrick Ewing","bad","0.28846154"
"Brent Price","bad","0.2857143"
"Johnny Newman","bad","0.28571427"
"Otis Thorpe","bad","0.27450982"
"Dan Schayes","bad","0.27272728"
"Felipe Lopez","bad","0.2688172"
"Sam Mitchell","bad","0.26829267"
"Ike Austin","bad","0.26666665"
"Mark Hendrickson","bad","0.26470587"
"Nick Anderson","bad","0.2614379"
"Mookie Blaylock","bad","0.25757578"
"Detlef Schrempf","bad","0.25316456"
"Cory Alexander","bad","0.24691357"
"Chucky Brown","bad","0.24000001"
"Anthony Miller","bad","0.23809525"
"Jelani McCoy","bad","0.23529413"
"Pervis Ellison","bad","0.23333333"
"James Robinson","bad","0.22077923"
"Will Perdue","bad","0.22"
"Cherokee Parks","bad","0.2112676"
"Greg Foster","bad","0.21052633"
"Mitch Richmond","bad","0.17672412"
"Luc Longley","bad","0.1754386"
"Brandon Williams","bad","0.17073171"
"Tom Hammonds","bad","0.16393442"
"Benoit Benjamin","bad","0.15555555"
"Dean Garrett","bad","0.15068494"
"Marty Conlon","bad","0.14285713"
"John Coker","bad","0.13636364"
"Gerald Wilkins","bad","0.13207546"
"Rony Seikaly","bad","0.12781955"
"Tyrone Corbin","bad","0.12745097"
"Dee Brown","bad","0.1098901"
"Vinny Del Negro","bad","0.10526316"
"Eldridge Recasner","bad","0.086021505"
"Matt Geiger","bad","0.07079646"
"Darrick Martin","bad","0.029126214"
"Adrian Caldwell","bad","0"
"Michael McDonald","bad","0"
"Dickey Simpkins","bad","0"
"Sean Higgins","bad","0"
"Terrance Roberson","bad","0"
"Randy Brown","bad","0"
"Mark Baker","bad","0"
"Rodrick Rhodes","bad","0"
"Joe Wolf","bad","0"
"Jonathan Kerner","bad","0"
"Andy Panko","bad","0"
"Litterial Green","bad","0"
"Muggsy Bogues","bad","0"
"Derek Hood","bad","0"
"Bob McCann","bad","0"
"Mario Bennett","bad","0"
"Lari Ketner","bad","0"
"Randell Jackson","bad","0"
"Jason Miskiri","bad","0"
"Trevor Winter","bad","0"
